도구,주제,난이도,시간,커리큘럼
Notion,업무 효율 향상을 위한 Notion 활용법 - 기초,기초,180분,"1. 노션이란 무엇인가? 어떤 원리로 이루어져 있는가? / 2. 노션은 어떻게 활용할 수 있는가? 프로젝트 관리, 대시보드, 독서 기록 관리를 통해 사례를 알아보자 / 3. 블록과 페이지를 직접 만들어보며 노션의 기초 사용법을 익혀보자 / 4. [실습] 업무와 일상에 바로 쓸 수 있는 주간 플래너 따라 만들기 / 5. 데이터베이스를 활용해 공유와 협업에 대해 배워보자 / 6. [협업 실습] 노션 데이터베이스의 기본 사용법"
Notion,업무 효율 향상을 위한 Notion 활용법 - 중급,중급,180분,"1. 데이터베이스의 기본 개념 및 필터, 정렬 / 2. 링크된 데이터베이스 / 3. 관계형 데이터베이스 / 4. [실습] 업무에 바로 쓰는 실시간 프로젝트 관리 대시보드 제작 / 5. [실습] 업무와 일상에 바로 쓰는 노션 다이어리 따라 만들기"
Notion,업무 정보의 체계적 관리 및 공유를 위한 Notion 활용법,기초,120분,"Notion 소개 / 정보 관리 및 문서화 적용 사례 / 실무 활용 방안 제시 및 기능 시연 / Notion AI 및 Teams 통합 활용법"
Notion,자기 PR을 위한 노션 포트폴리오 제작 워크샵,기초~중급,240분,"1. 노션이란 무엇인가? / 2. 노션 활용 사례 / 3. 블록과 페이지 기초 / 4. 포트폴리오 페이지 구조 / 5. 포트폴리오 사례 / 6. 포트폴리오 항목 파악 / 7. 포트폴리오 직접 만들기"
Notion,노션 어드벤스드 과정 GS리테일,고급,240분,"1. 링크된 데이터베이스 소개 / 2. 할 일 관리 페이지 실습 / 3. 관계형 데이터베이스 소개 / 4. 습관 관리 페이지 실습 / 5. 대시보드 제작 실습 / 6. 프로젝트 관리 페이지 실습"
ChatGPT,[기초] 업무 효율 향상을 위한 ChatGPT 활용법,기초,180분,"1. ChatGPT 소개와 일상 활용 사례 / 2. 언어 모델 이해와 Hallucination 대응 / 3. ChatGPT 활용하기 / 4. [실습] 프롬프트 기법 / 5. 유용한 생성형 AI 도구 추천 / 6. 보안 및 저작권"
ChatGPT,[기초] 업무에 최적화된 GPT를 만드는 방법,기초,180분,"1. 언어 모델과 ChatGPT 이해 / 2. GPTs 개념 및 활용 사례 / 3. GPTs 시작하기 / 4. GPT 최적화 프롬프트 전략 / 5. GPTs 실습 / 6. 추천 GPT / 7. 보안과 저작권"
ChatGPT,[중급] 업무에 바로 쓰는 챗GPT 사용법,중급,240분,"1. 업무 활용 사례 / 2. LM 원리 / 3~7. 실습(가능vs불가, 보도자료, 고객후기, 인수인계서, 고객문의) / 8. 무료 vs 유료 / 9. 보안과 저작권"
ChatGPT,업무 효율 향상을 위한 ChatGPT 활용법,기초~중급,240분,"1. ChatGPT 열풍 / 2. 일상 사례 6가지 / 3. 가능 vs 불가능 실습 / 4. OICSE 프롬프트 / 5. LM과 Hallucination / 6. Few shot / 7. 사람 vs ChatGPT / 8. 기타 프롬프트 / 9. 카카오톡 실습 / 10. 확장프로그램"
ChatGPT/Claude,업무와 일상을 모두 사로잡는 생성형 AI 심화,중급~고급,180분,"ChatGPT·Claude 최신 소식 / ChatGPT 이미지 생성 / Claude MCP / 프롬프트 기초 / Make 사례 / GPTs"
ChatGPT,지금 당장 써먹는 ChatGPT 실무활용 필살기,중급~고급,480분,"Intro / 프롬프트의 원리 / 보고서 작성 / 데이터 분석 / GPTs / 생성형 AI 추천·보안·Q&A"
Google Workspace,구글 워크스페이스,기초,240분,"1. 협업 도구 이해 / 2. 워크스페이스 소개 / 3. Gmail·Chat·Meet / 4. Docs 협업 / 5. 드라이브 / 6. 캘린더·Task / 7. 킵·잼보드·사이트 / 8. 협업 도구 소개"
Slack,원활한 소통을 위한 슬랙 기초 사용법,기초,120분,"1. 커뮤니케이션 수단의 변화 / 2. 커뮤니케이션 (목차 보완 필요)"
Microsoft Teams,조직 내 협업 강화를 위한 Teams,기초,120분,"협업 도구 필요성 / Teams 도입 사례 / 핵심 기능 / 실습 시연"
Microsoft Teams,조직 내 협업 강화를 위한 Teams (행정·기업 특화),기초,120분,"도입 기대효과 / 적용 사례 / 기본 기능 / 화면 시연 / 행정업무 적용 방안"
Make,진짜 업무에 쓰는 Make 사용법,중급,360분,"1~11. 자동화 개념~시나리오~서비스 연결~실습 4종 (Tally/Slack, Notion/Slack, 캘린더, 와인라벨, 회의록)"
Cursor,해커톤 AI 협업 — 바이브코딩 입문,기초~중급,240분,"소통 창구 / 아이데이션 / 아이디어 선별 / 문서화 / 구현(Plan·Agent) / 오류수정 / 발표준비"
종합,스마트워크를 위한 협업 및 자동화 도구 활용법,기초~중급,300분,"스마트워크 정의 / Notion / Zapier·Make / ChatGPT / 도구 통합"
종합,업무시간을 줄여주는 스마트워크 도구 활용,기초,510분,"생산성·스마트워크·협업도구·관리기술·크롬·Google(90분)·Notion(120분)·Slack(60분)·생성형AI(30분)·자동화(60분)"
